# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
8.347944810020399E+09	-5.178460373354714E-01	-1.784024179602831E+02	-5.485352096577873E+01	1.501180791500008E+02	-5.490625516434150E+01	1.497580620000613E+02	-9.700088117334332E-01	1.775193212922716E+02	
8.364885978574225E+09	-5.067694672029545E-01	-1.783788078315429E+02	-5.487537466403109E+01	1.494073645890763E+02	-5.490323722282582E+01	1.491584570827115E+02	-9.656550693035855E-01	1.776292293209052E+02	
8.381861527229767E+09	-5.247570248544789E-01	-1.783005419854579E+02	-5.487443578981061E+01	1.491486014205849E+02	-5.491380901686937E+01	1.487358827611760E+02	-9.894894789834906E-01	1.777455405017256E+02	
8.398871525757451E+09	-5.282150001488952E-01	-1.781627242562313E+02	-5.486610502262358E+01	1.488833667998864E+02	-5.491502949157436E+01	1.485214160953318E+02	-9.922066225750898E-01	1.778358175505673E+02	
8.415916044069157E+09	-5.135224199499457E-01	-1.781965961188490E+02	-5.484616891297964E+01	1.482539024417084E+02	-5.488702111888037E+01	1.479703658104408E+02	-9.840873558932526E-01	1.777937902560551E+02	
8.432995152218746E+09	-4.979749993274635E-01	-1.781925569273728E+02	-5.483488692729735E+01	1.477047244370044E+02	-5.488059632535118E+01	1.473357604036015E+02	-9.723364017384808E-01	1.777936433705593E+02	
8.450108920402246E+09	-4.741044044101514E-01	-1.781940004829914E+02	-5.480116855296096E+01	1.468234585415267E+02	-5.484624031956686E+01	1.466768106637575E+02	-9.571224874237267E-01	1.777752018021492E+02	
8.467257418958035E+09	-5.078102581136608E-01	-1.781359316946359E+02	-5.483283237849875E+01	1.463343640553969E+02	-5.488201498562502E+01	1.460520775890606E+02	-9.955575643299464E-01	1.777525458923770E+02	
8.484440718367372E+09	-5.283991942535068E-01	-1.780976223897247E+02	-5.484577412676493E+01	1.460260278976913E+02	-5.488531796865425E+01	1.457125373896350E+02	-1.022608008786813E+00	1.777106846514406E+02	
8.501658889254413E+09	-5.275136473744521E-01	-1.780846242770120E+02	-5.482207747257193E+01	1.455160917655046E+02	-5.487960511851276E+01	1.452191444559522E+02	-1.021761183786139E+00	1.775905497294685E+02	
8.518912002386775E+09	-5.080839961873044E-01	-1.782696637738691E+02	-5.481455380208573E+01	1.449476818821823E+02	-5.485516922000560E+01	1.446129389075643E+02	-1.006301707447900E+00	1.773618390437391E+02	
8.536200128675550E+09	-5.080000172599457E-01	-1.784025169530149E+02	-5.484056368336867E+01	1.442589132896587E+02	-5.487992223257791E+01	1.437492820182173E+02	-1.012064364087046E+00	1.772549055232082E+02	
8.553523339175876E+09	-5.409899863874864E-01	-1.782009097686471E+02	-5.488092919829887E+01	1.435597176428238E+02	-5.491989221799135E+01	1.433960360128681E+02	-1.047395822028331E+00	1.774020567288227E+02	
8.570881705086948E+09	-5.551669521664477E-01	-1.779699547571047E+02	-5.491295157677943E+01	1.434436533158262E+02	-5.494060033293928E+01	1.430964485949895E+02	-1.062674261546176E+00	1.774953919576429E+02	
8.588275297752594E+09	-5.382370852106392E-01	-1.780679820916789E+02	-5.489779787389551E+01	1.428920126123863E+02	-5.492769759246493E+01	1.427165597396970E+02	-1.048956175640741E+00	1.773443229953016E+02	
8.605704188661283E+09	-5.277010378839737E-01	-1.783030739078843E+02	-5.488904081375000E+01	1.421768255318809E+02	-5.495211957287839E+01	1.419044060904677E+02	-1.037895219347566E+00	1.771289368891367E+02	
8.623168449446701E+09	-5.145997389752762E-01	-1.782663245343837E+02	-5.490610826727467E+01	1.417069449831797E+02	-5.496714490873120E+01	1.412759462707727E+02	-1.029216356024139E+00	1.772034749769937E+02	
8.640668151887770E+09	-5.423660512471905E-01	-1.778990042509009E+02	-5.492685182891545E+01	1.413924385228179E+02	-5.497950583219158E+01	1.410855605547223E+02	-1.059756786350178E+00	1.775634192545758E+02	
8.658203367909216E+09	-5.419102861543155E-01	-1.777481336487081E+02	-5.493646057252725E+01	1.410823814783758E+02	-5.496373708546191E+01	1.406706271234731E+02	-1.062124671933484E+00	1.776821645711027E+02	
8.675774169581585E+09	-5.444677404434204E-01	-1.779499486158347E+02	-5.494741630872571E+01	1.405095526053539E+02	-5.497900628126614E+01	1.402033755109710E+02	-1.064355610669790E+00	1.774976751896482E+02	
8.693380629121830E+09	-5.570659909029769E-01	-1.782157453793112E+02	-5.494610862811562E+01	1.398859117339233E+02	-5.499194656027334E+01	1.396556449916564E+02	-1.072538920801584E+00	1.772784563411105E+02	
8.711022818893311E+09	-5.485028661224502E-01	-1.781473571706485E+02	-5.497801063961793E+01	1.393201001317699E+02	-5.500489923028334E+01	1.389549689803544E+02	-1.068389836392411E+00	1.774085123061993E+02	
8.728700811406385E+09	-5.737564560272571E-01	-1.778888353153323E+02	-5.501897811485277E+01	1.384237899312636E+02	-5.505649442197917E+01	1.381250504201099E+02	-1.094239217475865E+00	1.777035041720932E+02	
8.746414679318420E+09	-5.768177254825297E-01	-1.777012973561748E+02	-5.501897978141880E+01	1.380913161700417E+02	-5.505720433298961E+01	1.378621971877014E+02	-1.101246464714378E+00	1.778903817042773E+02	
8.764164495434374E+09	-5.721259785553583E-01	-1.779544477623184E+02	-5.500999788651114E+01	1.375281200304292E+02	-5.503503513240857E+01	1.373443093078950E+02	-1.097698884281217E+00	1.776482466389326E+02	
8.781950332706812E+09	-5.600632838522466E-01	-1.781871769649136E+02	-5.499673278198944E+01	1.368893146578773E+02	-5.505257146787321E+01	1.367452277411639E+02	-1.087211554142276E+00	1.774186134464333E+02	
8.799772264236490E+09	-5.567172756380607E-01	-1.780710946355121E+02	-5.501797256222147E+01	1.363711704788618E+02	-5.507150863710913E+01	1.360325513753402E+02	-1.088383352906384E+00	1.776442814364956E+02	
8.817630363272371E+09	-5.483942668735414E-01	-1.777370840031657E+02	-5.503885377435508E+01	1.358458250729828E+02	-5.507331561868770E+01	1.357488193212769E+02	-1.088342311418834E+00	1.779717763362191E+02	
8.835524703212212E+09	-5.538521306556219E-01	-1.776062293238959E+02	-5.504036459794662E+01	1.354752235364473E+02	-5.509701547856254E+01	1.353693799853022E+02	-1.101135015386116E+00	1.780666788063721E+02	
8.853455357602577E+09	-5.552386497196828E-01	-1.778438472736140E+02	-5.504876192815148E+01	1.349159658401662E+02	-5.507707556114348E+01	1.347971674488796E+02	-1.109029976691793E+00	1.777781004841699E+02	
